"module name","licenses","repository","licenseUrl","parents"
"teeny-request@3.11.3","Apache-2.0","https://github.com/fhinkel/teeny-request","https://github.com/fhinkel/teeny-request/raw/master/LICENSE","chatbot"
"tlds@1.203.1","MIT","https://github.com/stephenmathieson/node-tlds","https://github.com/stephenmathieson/node-tlds","chatbot"
"to-object-path@0.3.0","MIT","https://github.com/jonschlinkert/to-object-path","https://github.com/jonschlinkert/to-object-path/raw/master/LICENSE","chatbot"
"to-regex-range@2.1.1","MIT","https://github.com/micromatch/to-regex-range","https://github.com/micromatch/to-regex-range/raw/master/LICENSE","chatbot"
"to-regex@3.0.2","MIT","https://github.com/jonschlinkert/to-regex","https://github.com/jonschlinkert/to-regex/raw/master/LICENSE","chatbot"
"toml@3.0.0","MIT","https://github.com/BinaryMuse/toml-node","https://github.com/BinaryMuse/toml-node/raw/master/LICENSE","chatbot"
"topo@3.0.3","BSD-3-Clause","https://github.com/hapijs/topo","https://github.com/hapijs/topo/raw/master/LICENSE","chatbot"
"tough-cookie@2.3.4","BSD-3-Clause","https://github.com/salesforce/tough-cookie","https://github.com/salesforce/tough-cookie/raw/master/LICENSE","chatbot"
"tough-cookie@2.4.3","BSD-3-Clause","https://github.com/salesforce/tough-cookie","https://github.com/salesforce/tough-cookie/raw/master/LICENSE","codacy-coverage:chatbot"
"trim-newlines@1.0.0","MIT","https://github.com/sindresorhus/trim-newlines","https://github.com/sindresorhus/trim-newlines/raw/master/license","chatbot"
"tunnel-agent@0.6.0","Apache-2.0","https://github.com/mikeal/tunnel-agent","https://github.com/mikeal/tunnel-agent/raw/master/LICENSE","chatbot"
"tweetnacl@0.14.5","Unlicense","https://github.com/dchest/tweetnacl-js","https://github.com/dchest/tweetnacl-js/raw/master/LICENSE","sshpk:chatbot"
"tweetnacl@1.0.1","Unlicense","https://github.com/dchest/tweetnacl-js","https://github.com/dchest/tweetnacl-js/raw/master/LICENSE","chatbot"
"type-check@0.3.2","MIT","https://github.com/gkz/type-check","https://github.com/gkz/type-check/raw/master/LICENSE","chatbot"
"type-detect@4.0.8","MIT","https://github.com/chaijs/type-detect","https://github.com/chaijs/type-detect/raw/master/LICENSE","chatbot"
"type-is@1.6.16","MIT","https://github.com/jshttp/type-is","https://github.com/jshttp/type-is/raw/master/LICENSE","chatbot"
"typescript@3.0.1","Apache-2.0","https://github.com/Microsoft/TypeScript","https://github.com/Microsoft/TypeScript/raw/master/LICENSE.txt","chatbot"
"uglify-js@3.4.9","BSD-2-Clause","https://github.com/mishoo/UglifyJS2","https://github.com/mishoo/UglifyJS2/raw/master/LICENSE","handlebars:chatbot"
"underscore.string@3.3.5","MIT","https://github.com/epeli/underscore.string","https://github.com/epeli/underscore.string","chatbot"
"union-value@1.0.0","MIT","https://github.com/jonschlinkert/union-value","https://github.com/jonschlinkert/union-value/raw/master/LICENSE","chatbot"
"unpipe@1.0.0","MIT","https://github.com/stream-utils/unpipe","https://github.com/stream-utils/unpipe/raw/master/LICENSE","chatbot"
"unset-value@1.0.0","MIT","https://github.com/jonschlinkert/unset-value","https://github.com/jonschlinkert/unset-value/raw/master/LICENSE","chatbot"
"uri-js@4.2.2","BSD-2-Clause","https://github.com/garycourt/uri-js","https://github.com/garycourt/uri-js","chatbot"
"urix@0.1.0","MIT","https://github.com/lydell/urix","https://github.com/lydell/urix/raw/master/LICENSE","chatbot"
"url-regex@4.1.1","MIT","https://github.com/kevva/url-regex","https://github.com/kevva/url-regex/raw/master/license","chatbot"
"urlgrey@0.4.4","BSD-2-Clause","https://github.com/cainus/urlgrey","https://github.com/cainus/urlgrey","chatbot"
"use@3.1.1","MIT","https://github.com/jonschlinkert/use","https://github.com/jonschlinkert/use/raw/master/LICENSE","chatbot"
"util-deprecate@1.0.2","MIT","https://github.com/TooTallNate/util-deprecate","https://github.com/TooTallNate/util-deprecate/raw/master/LICENSE","chatbot"
"utils-merge@1.0.1","MIT","https://github.com/jaredhanson/utils-merge","https://github.com/jaredhanson/utils-merge/raw/master/LICENSE","chatbot"
"uuid@3.3.2","MIT","https://github.com/kelektiv/node-uuid","https://github.com/kelektiv/node-uuid/raw/master/LICENSE.md","chatbot"
"uws@100.0.1","UNKNOWN","https://github.com/uNetworking/uWebSockets.js","https://github.com/uNetworking/uWebSockets.js","chatbot"
"validate-npm-package-license@3.0.3","Apache-2.0","https://github.com/kemitchell/validate-npm-package-license.js","https://github.com/kemitchell/validate-npm-package-license.js/raw/master/LICENSE","chatbot"
"vary@1.1.2","MIT","https://github.com/jshttp/vary","https://github.com/jshttp/vary/raw/master/LICENSE","chatbot"
"verror@1.10.0","MIT","https://github.com/davepacheco/node-verror","https://github.com/davepacheco/node-verror/raw/master/LICENSE","chatbot"
"whatwg-fetch@3.0.0","MIT","https://github.com/github/fetch","https://github.com/github/fetch/raw/master/LICENSE","chatbot"
"which-module@2.0.0","ISC","https://github.com/nexdrew/which-module","https://github.com/nexdrew/which-module/raw/master/LICENSE","chatbot"
"which@1.3.1","ISC","https://github.com/isaacs/node-which","https://github.com/isaacs/node-which/raw/master/LICENSE","chatbot"
"wide-align@1.1.3","ISC","https://github.com/iarna/wide-align","https://github.com/iarna/wide-align/raw/master/LICENSE","chatbot"
"winston@2.4.4","MIT","https://github.com/winstonjs/winston","https://github.com/winstonjs/winston/raw/master/LICENSE","chatbot"
"wordwrap@0.0.3","MIT","https://github.com/substack/node-wordwrap","https://github.com/substack/node-wordwrap/raw/master/LICENSE","optimist:chatbot"
"wordwrap@1.0.0","MIT","https://github.com/substack/node-wordwrap","https://github.com/substack/node-wordwrap/raw/master/LICENSE","chatbot"
"wrap-ansi@2.1.0","MIT","https://github.com/chalk/wrap-ansi","https://github.com/chalk/wrap-ansi/raw/master/license","chatbot"
"wrappy@1.0.2","ISC","https://github.com/npm/wrappy","https://github.com/npm/wrappy/raw/master/LICENSE","chatbot"
"ws@4.1.0","MIT","https://github.com/websockets/ws","https://github.com/websockets/ws/raw/master/LICENSE","chatbot"
"wtfnode@0.8.0","ISC","https://github.com/myndzi/wtfnode","https://github.com/myndzi/wtfnode","chatbot"
"xml2js@0.4.19","MIT","https://github.com/Leonidas-from-XIV/node-xml2js","https://github.com/Leonidas-from-XIV/node-xml2js/raw/master/LICENSE","chatbot"
"xmlbuilder@9.0.7","MIT","https://github.com/oozcitak/xmlbuilder-js","https://github.com/oozcitak/xmlbuilder-js/raw/master/LICENSE","chatbot"
"y18n@4.0.0","ISC","https://github.com/yargs/y18n","https://github.com/yargs/y18n/raw/master/LICENSE","chatbot"
"yallist@3.0.3","ISC","https://github.com/isaacs/yallist","https://github.com/isaacs/yallist/raw/master/LICENSE","chatbot"
"yargs-parser@11.1.1","ISC","https://github.com/yargs/yargs-parser","https://github.com/yargs/yargs-parser/raw/master/LICENSE.txt","chatbot"
"yargs-unparser@1.5.0","MIT","https://github.com/yargs/yargs-unparser","https://github.com/yargs/yargs-unparser/raw/master/LICENSE","chatbot"
"yargs@12.0.5","MIT","https://github.com/yargs/yargs","https://github.com/yargs/yargs/raw/master/LICENSE","chatbot"
